timestep,HoeffdingTreeClassifier,GaussianNB,Perceptron
195,0.8923076923076924,0.8923076923076924,0.9025641025641026
196,0.8928571428571429,0.8928571428571429,0.8979591836734694
197,0.8934010152284264,0.8934010152284264,0.8984771573604061
198,0.8939393939393939,0.8939393939393939,0.898989898989899
199,0.8944723618090452,0.8944723618090452,0.8994974874371859
200,0.895,0.895,0.9
201,0.8955223880597015,0.8955223880597015,0.900497512437811
202,0.8960396039603961,0.8960396039603961,0.900990099009901
203,0.896551724137931,0.896551724137931,0.9014778325123153
204,0.8970588235294118,0.8970588235294118,0.9019607843137255
205,0.8975609756097561,0.8975609756097561,0.9024390243902439
206,0.8980582524271845,0.8980582524271845,0.9029126213592233
207,0.8985507246376812,0.8985507246376812,0.9033816425120773
208,0.8990384615384616,0.8990384615384616,0.9038461538461539
209,0.8995215311004785,0.8995215311004785,0.9043062200956937
210,0.9,0.9,0.9047619047619048
211,0.9004739336492891,0.9004739336492891,0.9052132701421801
212,0.9009433962264151,0.9009433962264151,0.9056603773584906
213,0.9014084507042254,0.9014084507042254,0.9061032863849765
214,0.9018691588785047,0.9018691588785047,0.9065420560747663
215,0.9023255813953488,0.9023255813953488,0.9023255813953488
216,0.9027777777777778,0.9027777777777778,0.9027777777777778
217,0.9032258064516129,0.9032258064516129,0.9032258064516129
218,0.9036697247706422,0.9036697247706422,0.9036697247706422
219,0.9041095890410958,0.9041095890410958,0.9041095890410958
220,0.9,0.9,0.9
221,0.9004524886877828,0.9004524886877828,0.9004524886877828
222,0.9009009009009009,0.9009009009009009,0.9009009009009009
